B02,B03,B04,B08,class
1697,3290,1776,23514,forest
1579,3342,1520,23271,forest
1206,2071,1009,17544,forest
1612,2635,1350,21600,forest
1488,2458,1199,20735,forest
1750,3047,1455,31739,forest
1481,2458,1219,20231,forest
1999,4050,2097,24844,forest
1298,2143,1035,15125,forest
1389,2254,1029,21633,forest
1579,2287,1167,17196,forest
2176,3985,2359,21364,forest
1337,2195,1252,19647,forest
1573,2615,1088,22544,forest
1534,2353,1298,20585,forest
1383,2235,1147,15191,forest
1606,2359,1219,22551,forest
1632,2477,1258,23586,forest
1481,2195,1180,21803,forest
2805,3198,3532,6062,forest
1435,2490,1173,20794,forest
2910,4587,4207,18645,forest
2261,4325,2169,25808,forest
1488,2484,1291,21541,forest
2779,3028,3749,6114,forest
1475,2281,1337,22380,forest
1461,2372,1101,19261,forest
2189,4155,2687,21391,forest
1324,2143,1252,18094,forest
1042,2143,976,16331,forest
1475,2372,1239,17504,forest
2091,4384,2438,24353,forest
1501,2530,1311,20342,forest
2726,4358,3080,16240,forest
1324,2523,1298,21391,forest
1435,2608,1245,25690,forest
1167,1730,970,16718,forest
2576,3526,2811,9588,forest
1763,2811,1501,18841,forest
2713,2857,3441,6252,forest
2097,4319,2064,28829,forest
1219,2045,1068,17065,forest
1337,2346,1298,19837,forest
1494,2326,1370,19484,forest
1514,2287,1232,17236,forest
2766,3198,3880,5564,forest
1324,2163,1114,15152,forest
2766,5040,3650,21699,forest
1278,1959,1127,19805,forest
1638,2752,1409,23042,forest
2084,2628,2621,9968,forest
1442,2372,1193,25847,forest
1298,2051,1101,18317,forest
1304,1986,1140,17904,forest
1167,2268,1003,20585,forest
1593,2582,1337,22557,forest
1802,2910,1586,30251,forest
1868,3441,1861,21751,forest
1822,3880,1376,30408,forest
1658,2608,1416,20250,forest
1049,1848,852,15597,forest
1796,3657,1874,21699,forest
2359,4352,2661,23540,forest
1298,1848,1153,17216,forest
1343,2195,1232,17642,forest
1540,2549,1409,19503,forest
1396,2235,1173,21128,forest
3218,3644,4627,8021,forest
1992,3762,1710,27951,forest
1416,2274,1160,19700,forest
1167,2045,944,17360,forest
1520,2543,1376,22492,forest
1527,2477,1114,20722,forest
